Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - PIM Add,Chrome 131.0.0.0,,,2025-01-12 19:53:11,2025-01-12 19:55:24,2m - 12.940s,FAILED
,,,,,,,
Test Cases/login/TC - Login Admin,Chrome 131.0.0.0,,,2025-01-12 19:53:11,2025-01-12 19:54:15,1m - 3.290s,PASSED
"runFeatureFile(""Include/features/login/loginAdmin.feature"")",Chrome 131.0.0.0,,,2025-01-12 19:53:12,2025-01-12 19:54:15,1m - 2.638s,PASSED
,,,,,,,
Test Cases/PIM/TC - PIM Add,Chrome 131.0.0.0,,,2025-01-12 19:54:15,2025-01-12 19:55:24,1m - 9.220s,FAILED
"runFeatureFile(""Include/features/pim/pimAdd.feature"")",Chrome 131.0.0.0,,,2025-01-12 19:54:15,2025-01-12 19:55:24,1m - 8.785s,FAILED
