Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - PIM Add,Chrome 131.0.0.0,,,2025-01-12 19:58:14,2025-01-12 19:59:45,1m - 31.691s,PASSED
,,,,,,,
Test Cases/login/TC - Login Admin,Chrome 131.0.0.0,,,2025-01-12 19:58:14,2025-01-12 19:59:14,59.793s,PASSED
"runFeatureFile(""Include/features/login/loginAdmin.feature"")",Chrome 131.0.0.0,,,2025-01-12 19:58:15,2025-01-12 19:59:14,59.233s,PASSED
,,,,,,,
Test Cases/PIM/TC - PIM Add,Chrome 131.0.0.0,,,2025-01-12 19:59:14,2025-01-12 19:59:45,31.472s,PASSED
"runFeatureFile(""Include/features/pim/pimAdd.feature"")",Chrome 131.0.0.0,,,2025-01-12 19:59:14,2025-01-12 19:59:45,31.044s,PASSED
